"","OBJECTID","ID","ADDRESS","TERMINAL_NUMBER","LATITUDE","LONGITUDE","location","zipcode"
"1",158974616,68,"Eastern Market / 7th & North Carolina Ave SE",31610,38.886952,-76.996806,"635-699 North Carolina Ave SE, Washington, DC 20003, USA","20003"
"2",158974617,69,"14th St & New York Ave NW",31216,38.899632,-77.031686,"1399 New York Ave NW, Washington, DC 20005, USA","20005"
"3",158974618,70,"Benning Branch Library",31705,38.894,-76.947974,"3935 Benning Rd NE, Washington, DC 20019, USA","20019"
"4",158974619,71,"USDA / 12th & Independence Ave SW",31217,38.887237,-77.02823,"201-245 12th St SW, Washington, DC 20228, USA","20228"
"5",158974620,72,"Georgetown Harbor / 30th St NW",31215,38.902221,-77.059219,"901 30th St NW, Washington, DC 20007, USA","20007"
"6",158974621,73,"12th & Newton St NE",31501,38.933668,-76.991016,"3601 12th St NE, Washington, DC 20017, USA","20017"
"7",158974622,74,"US Dept of State / Virginia Ave & 21st St NW",31220,38.894919,-77.046587,"319-399 21st St NW, Washington, DC 20245, USA","20245"
"8",158974623,75,"L'Enfant Plaza / 7th & C St SW",31218,38.886266,-77.022241,"700-746 C St SW, Washington, DC 20229, USA","20229"
"9",158974624,76,"10th St & Constitution Ave NW",31219,38.893028,-77.026013,"300-376 10th St NW, Washington, DC 20530, USA","20530"
"10",158974625,77,"Kennedy Center",31211,38.897293,-77.05557,"2700 F St NW, Washington, DC 20566, USA","20566"
"11",158974626,78,"Eastern Market Metro / Pennsylvania Ave & 7th St SE",31613,38.884,-76.995397,"701-759 Pennsylvania Ave SE, Washington, DC 20003, USA","20003"
"12",158974627,79,"18th & M St NW",31221,38.904742,-77.041606,"1125 18th St NW, Washington, DC 20036, USA","20036"
"13",158974628,80,"Tenleytown / Wisconsin Ave & Albemarle St NW",31303,38.947607,-77.079382,"4443-4445 Wisconsin Ave NW, Washington, DC 20016, USA","20016"
"14",158974629,81,"13th & H St NE",31611,38.9003,-76.9882,"801-813 13th St NE, Washington, DC 20002, USA","20002"
"15",158974630,82,"5th & F St NW",31620,38.897222,-77.019347,"500-546 F St NW, Washington, DC 20004, USA","20004"
"16",158974631,83,"New York Ave & 15th St NW",31222,38.8991,-77.0337,"701-725 15th St NW, Washington, DC 20005, USA","20005"
"17",158974632,84,"Convention Center / 7th & M St NW",31223,38.905737,-77.02227,"701-751 M St NW, Washington, DC 20001, USA","20001"
"18",158974633,85,"Harvard St & Adams Mill Rd NW",31112,38.927872,-77.043358,"1845 Harvard St NW, Washington, DC 20009, USA","20009"
"19",158974634,86,"19th & L St NW",31224,38.903407,-77.043648,"1028 19th St NW, Washington, DC 20036, USA","20036"
"20",158974635,87,"C & O Canal & Wisconsin Ave NW",31225,38.90375,-77.06269,"1041-1043 Wisconsin Ave NW, Washington, DC 20007, USA","20007"
"21",158974636,88,"6th & Water St SW / SW Waterfront",31609,38.87675,-77.02127,"610 Water St SW, Washington, DC 20024, USA","20024"
"22",158974637,89,"D St & Maryland Ave NE",31612,38.894758,-76.997114,"615 D St NE, Washington, DC 20002, USA","20002"
"23",158974638,90,"34th St & Wisconsin Ave NW",31226,38.916442,-77.0682,"1855 Wisconsin Ave NW, Washington, DC 20007, USA","20007"
"24",158974639,91,"13th St & New York Ave NW",31227,38.900283,-77.029822,"1301 New York Ave NW, Washington, DC 20530, USA","20530"
"25",158974640,92,"8th & H St NW",31228,38.8997,-77.023086,"758-798 8th St NW, Washington, DC 20001, USA","20001"
"26",158974641,93,"10th & Monroe St NE",31504,38.932514,-76.992889,"900-998 Monroe St NE, Washington, DC 20017, USA","20017"
"27",158974642,94,"Eckington Pl & Q St NE",31505,38.910972,-77.00495,"1580-1598 Eckington Pl NE, Washington, DC 20002, USA","20002"
"28",158974643,95,"6th & H St NE",31615,38.899972,-76.998347,"737 6th St NE, Washington, DC 20002, USA","20002"
"29",158974644,96,"3rd & H St NE",31616,38.900412,-77.001949,"827 3rd St NE, Washington, DC 20002, USA","20002"
"30",158974645,97,"Bladensburg Rd & Benning Rd NE",31617,38.900413,-76.982872,"801-807 Bladensburg Rd NE, Washington, DC 20002, USA","20002"
"31",158974646,98,"4th & East Capitol St NE",31618,38.889955,-77.000349,"404 E Capitol St SE, Washington, DC 20003, USA","20003"
"32",158974647,99,"Lincoln Park / 13th & East Capitol St NE",31619,38.890461,-76.988355,"1 13th St NE, Washington, DC 20002, USA","20002"
"33",158974648,100,"Branch & Pennsylvania Ave SE",31701,38.8692,-76.9599,"3220-3242 Pennsylvania Ave SE, Washington, DC 20020, USA","20020"
"34",158974649,101,"13th & D St NE",31622,38.894832,-76.987633,"1300-1332 D St NE, Washington, DC 20002, USA","20002"
"35",158974650,102,"New Hampshire Ave & T St NW",31229,38.91554,-77.03818,"1622-1698 T St NW, Washington, DC 20009, USA","20009"
"36",158974651,103,"Metro Center / 12th & G St NW",31230,38.898364,-77.027869,"1101-1199 G St NW, Washington, DC 20005, USA","20005"
"37",158974652,104,"14th & D St NW / Ronald Reagan Building",31231,38.894514,-77.031617,"1352-1398 D St NW, Washington, DC 20004, USA","20004"
"38",158974653,105,"7th & F St NW/Portrait Gallery",31232,38.897296,-77.022185,"701-799 F St NW, Washington, DC 20004, USA","20004"
"39",158974654,106,"17th & K St NW / Farragut Square",31233,38.902061,-77.038322,"1666 K St NW, Washington, DC 20006, USA","20006"
"40",158974655,107,"20th & O St NW / Dupont South",31234,38.908905,-77.04478,"1401-1499 20th St NW, Washington, DC 20036, USA","20036"
"41",158974656,108,"4th & D St NW / Judiciary Square",31621,38.895344,-77.016106,"441 4th St NW, Washington, DC 20001, USA","20001"
"42",158974657,109,"19th St & Constitution Ave NW",31235,38.8923,-77.0436,"200-250 19th St NW, Washington, DC 20245, USA","20245"
"43",158974658,110,"37th & O St NW / Georgetown University",31236,38.90774,-77.071652,"1404 37th St NW, Washington, DC 20007, USA","20007"
"44",158974659,111,"11th & H St NE",31614,38.899983,-76.991383,"1101 H St NE, Washington, DC 20002, USA","20002"
"45",158974660,112,"25th St & Pennsylvania Ave NW",31237,38.903827,-77.053485,"2501 Pennsylvania Ave NW, Washington, DC 20037, USA","20037"
"46",158974752,211,"Columbia Pike & S Courthouse Rd",31053,38.863833,-77.080319,"1052-1188 S Courthouse Rd, Arlington, VA 22204, USA","22204"
"47",158974753,212,"Walter Reed Community Center / Walter Reed Dr & 16th St S",31054,38.857803,-77.086733,"2909 16th St S, Arlington, VA 22204, USA","22204"
"48",158974754,213,"28th St S & S Meade St",31055,38.846222,-77.069275,"1201-1299 28th St S, Arlington, VA 22206, USA","22206"
"49",158974755,214,"18th St & Wyoming Ave NW",31114,38.918809,-77.041571,"2219-2227 18th St NW, Washington, DC 20009, USA","20009"
"50",158974756,215,"5th & Kennedy St NW",31403,38.956556,-77.019814,"5501-5505 5th St NW, Washington, DC 20011, USA","20011"
"51",158974757,216,"Georgia Ave & Emerson St NW",31405,38.949662,-77.027333,"1208-1210 Emerson St NW, Washington, DC 20011, USA","20011"
"52",158974758,217,"14th & Upshur St NW",31406,38.942016,-77.032652,"4201-4273 14th St NW, Washington, DC 20011, USA","20011"
"53",158974759,218,"14th St & Colorado Ave NW",31407,38.956432,-77.032947,"5521-5539 Colorado Ave NW, Washington, DC 20011, USA","20011"
